Algorithm,n,Result,Execution Time (s),Memory Usage (bytes),Memory Usage (KB)
Recursive,10,55,3.760003892239183e-06,0,0.0
Iterative,10,55,5.280016921460629e-07,0,0.0
Dynamic Programming,10,55,1.672997314017266e-06,448,0.4375
Recursive,20,6765,0.00042166499770246446,0,0.0
Iterative,20,6765,7.400012691505253e-07,0,0.0
Dynamic Programming,20,6765,2.896005753427744e-06,856,0.8359375
Recursive,30,832040,0.05322942099883221,0,0.0
Iterative,30,832040,1.095999323297292e-06,0,0.0
Dynamic Programming,30,832040,5.487003363668919e-06,1672,1.6328125
Recursive,40,102334155,6.704762699999264,0,0.0
Iterative,40,102334155,1.5389960026368499e-06,0,0.0
Dynamic Programming,40,102334155,6.621005013585091e-06,1672,1.6328125
