Algorithm,Input Size,Input Type,Comparisons,Execution Time (s),Memory Usage (bytes),Memory Usage (KB)
Bubble Sort,100,sorted,99,3.2799944165162742e-06,824,0.8046875
Insertion Sort,100,sorted,99,4.366003850009292e-06,800,0.78125
Merge Sort,100,sorted,316,0.00014829300198471174,2896,2.828125
Quick Sort,100,sorted,717,6.176799797685817e-05,864,0.84375
Bubble Sort,100,reverse,4950,0.00028697599918814376,856,0.8359375
Insertion Sort,100,reverse,4950,0.00023734400019748136,856,0.8359375
Merge Sort,100,reverse,356,0.00015208600234473124,2896,2.828125
Quick Sort,100,reverse,673,4.724199970951304e-05,864,0.84375
Bubble Sort,100,random,4814,0.00022839399753138423,856,0.8359375
Insertion Sort,100,random,2464,0.00012815099762519822,856,0.8359375
Merge Sort,100,random,538,0.00018029199418378994,2696,2.6328125
Quick Sort,100,random,587,5.969500489300117e-05,864,0.84375
Bubble Sort,500,sorted,499,4.4059001083951443e-05,4056,3.9609375
Insertion Sort,500,sorted,499,3.266600106144324e-05,4024,3.9296875
Merge Sort,500,sorted,2216,0.0007693079969612882,14064,13.734375
Quick Sort,500,sorted,4764,0.00037844100006623194,4032,3.9375
Bubble Sort,500,reverse,124750,0.008338489999005105,4024,3.9296875
Insertion Sort,500,reverse,124750,0.006224611999641638,4024,3.9296875
Merge Sort,500,reverse,2274,0.0007916809991002083,14064,13.734375
Quick Sort,500,reverse,4944,0.00037066300137666985,4032,3.9375
Bubble Sort,500,random,124659,0.00741293300234247,4024,3.9296875
Insertion Sort,500,random,64665,0.0034050820031552576,4024,3.9296875
Merge Sort,500,random,3847,0.0009164270013570786,12528,12.234375
Quick Sort,500,random,5450,0.0004265410025254823,4032,3.9375
Bubble Sort,1000,sorted,999,0.00010571000166237354,8056,7.8671875
Insertion Sort,1000,sorted,999,7.858099706936628e-05,8024,7.8359375
Merge Sort,1000,sorted,4932,0.0015867579932091758,28032,27.375
Quick Sort,1000,sorted,10674,0.0008717579985386692,8032,7.84375
Bubble Sort,1000,reverse,499500,0.04094750299555017,8024,7.8359375
Insertion Sort,1000,reverse,499500,0.028208292998897377,8024,7.8359375
Merge Sort,1000,reverse,5049,0.0016576390044065192,28032,27.375
Quick Sort,1000,reverse,10322,0.0009315700008301064,8032,7.84375
Bubble Sort,1000,random,499329,0.03553366900450783,8024,7.8359375
Insertion Sort,1000,random,242617,0.01526237199868774,8024,7.8359375
Merge Sort,1000,random,8693,0.0020210430011502467,25160,24.5703125
Quick Sort,1000,random,10429,0.0009619600023142993,8032,7.84375
Bubble Sort,5000,sorted,4999,0.0007070530045893975,40056,39.1171875
Insertion Sort,5000,sorted,4999,0.000438865004980471,40024,39.0859375
Merge Sort,5000,sorted,29804,0.009183116002532188,140032,136.75
Quick Sort,5000,sorted,69056,0.006112864997703582,40032,39.09375
Bubble Sort,5000,reverse,12497500,1.2941527959992527,40024,39.0859375
Insertion Sort,5000,reverse,12497494,0.8353267410057015,40024,39.0859375
Merge Sort,5000,reverse,32057,0.00960596799995983,140032,136.75
Quick Sort,5000,reverse,73409,0.006448637999710627,40032,39.09375
Bubble Sort,5000,random,12492450,1.0570220390000031,40024,39.0859375
Insertion Sort,5000,random,6295225,0.44606170000042766,40024,39.0859375
Merge Sort,5000,random,55191,0.011522152002726216,123840,120.9375
Quick Sort,5000,random,68083,0.006338956001854967,40032,39.09375
Bubble Sort,10000,sorted,9999,0.0013884040017728694,80056,78.1796875
Insertion Sort,10000,sorted,9999,0.0009029100037878379,80024,78.1484375
Merge Sort,10000,sorted,64608,0.018734694000158925,280032,273.46875
Quick Sort,10000,sorted,162614,0.014075118000619113,80032,78.15625
Bubble Sort,10000,reverse,49995000,5.563954985002056,80024,78.1484375
Insertion Sort,10000,reverse,49994980,3.4055761880008504,80024,78.1484375
Merge Sort,10000,reverse,69200,0.018954352002765518,280032,273.46875
Quick Sort,10000,reverse,154077,0.012913969003420789,80032,78.15625
Bubble Sort,10000,random,49988559,4.497446096000203,80024,78.1484375
Insertion Sort,10000,random,25086677,1.7091861060034717,80024,78.1484375
Merge Sort,10000,random,120383,0.023931903000629973,248808,242.9765625
Quick Sort,10000,random,148160,0.0131156950010336,80032,78.15625
